country,min_date,max_date
TJK,1992-08-25,2025-12-18
TKM,1992-08-25,2025-12-18
TLS,2002-10-16,2025-12-18
TON,1999-11-09,2025-12-18
TTO,1962-09-21,2025-12-18
TUN,1956-11-16,2025-12-18
TUR,1946-01-26,2025-12-18
TUV,2000-10-20,2025-12-18
TZA,1965-11-05,2025-12-18
UGA,1962-10-31,2025-12-18
UKR,1946-01-26,2025-12-18
URY,1946-01-26,2025-12-18
USA,1946-01-26,2025-12-18
UZB,1992-08-25,2025-12-18
VCT,1980-10-22,2025-12-18
VEN,1946-01-26,2025-12-18
VNM,1977-10-28,2025-12-18
VUT,1981-09-25,2025-12-18
WSM,1976-12-01,2025-12-18
YEM,1947-10-21,2025-12-18
YMD,1967-12-14,1989-12-29
YUG,1946-01-26,2002-12-20
ZAF,1946-01-26,2025-12-18
ZMB,1965-11-05,2025-12-18
ZWE,1980-10-22,2025-12-18
